Id,water_year,total_rainfall,diff_from_mean
1,86/87,494,-119
2,87/88,541,-72
3,88/89,615,2
4,89/90,515,-98
5,90/91,460,-153
6,91/92,444,-169
7,92/93,427,-186
8,93/94,847,234
9,94/95,492,-121
10,95/96,477,-136
11,96/97,908,295
12,97/98,528,-85
13,98/99,902,289
14,99/00,332,-281
15,00/01,732,119
16,01/02,658,45
17,02/03,398,-215
18,03/04,540,-73
19,04/05,318,-295
20,05/06,996,383
21,06/07,681,68
22,07/08,1349,736
23,08/09,471,-142
24,09/10,530,-83
25,10/11,804,191
26,11/12,473,-140
