1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,0,111.2,56,158.2,29.8,116.6,13.2,9,0
0,0,23.8,38.2,14.8,86.4,11.2,85,61.4,158.6,60,1.2
0,0,63,5.2,39.6,54.2,164.4,147.8,120.4,14.4,0,5.6
0,0,0,3.4,59.3,37.6,218.2,50.6,113.2,13.8,18.6,0
0,0,0,5.4,28.6,27.6,39.8,117.4,85.2,148,8.4,0
0,0,0,0,30,185.4,69.6,57.6,45.6,19.2,36.6,0
0,0,0,3.4,4.2,59.8,92.2,122.6,28.8,54.2,62.2,0
0,44,0,23,23,13.2,68.6,79.4,197.8,101.7,116.1,180.5
0,0,0,2,48.8,13.6,24,104.8,3.2,267,28.4,0
0,0,0,29.6,0,63.8,93.8,129.8,54.6,99,6.6,0
15,1,0,21.8,75,172,40.8,133.4,144.8,293.2,3.8,7
0,0,0,0,0,72.6,17.6,67.2,191.6,70.8,31.2,9
0,6.6,0,0,0,65.9,78.7,180.4,305.8,193,202.8,0
0,0,0,0,0,46.6,30.2,108.7,43.4,47.6,0,0
0,0,3,17.4,0,119,140.2,204,90.8,65.2,4.2,6.6
0,0,0,0,21,61.4,6.6,176,200.4,169.2,26.6,0
0,0,1.8,7.4,0,72.8,79,78.1,39.2,100.6,22.4,0
0,0,0,47.8,81.1,47.8,59.8,93.6,98.5,70.6,0,0
0,20.5,0,56.2,18.4,25,63.6,23.2,81.4,43.2,0,0
0,0,70.4,3.6,0,2.4,180.6,144,154.2,232.6,0,3
0,0,0,45.6,28.8,220,45.4,22.4,148.8,33.6,138,0
0,0,63.7,0,19.2,507.2,43.8,180.8,403.8,67.2,8.8,0
0,0,0,0,23.8,41.4,64.8,47.1,150.2,122,21.8,0
0,0,0,23.4,16.8,59.4,2.8,106.1,140.6,93.8,83.4,3.2
0,8.2,0,8.8,5.8,29.2,158.2,320,87.6,126.4,49.8,9.6
8.4,0,0.4,31,20.8,60.4,138.2,67.4,28.6,90.8,27,0
