waterYear,year,month,rainfall
86/87,1986,Jun,56.0
86/87,1986,Jul,158.2
86/87,1986,Aug,29.8
86/87,1986,Sep,116.6
86/87,1986,Oct,13.2
86/87,1986,Nov,9.0
86/87,1986,Dec,0.0
86/87,1987,Jan,0.0
86/87,1987,Feb,0.0
86/87,1987,Mar,0.0
86/87,1987,Apr,0.0
86/87,1987,May,111.2
87/88,1987,Jun,86.4
87/88,1987,Jul,11.2
87/88,1987,Aug,85.0
87/88,1987,Sep,61.4
87/88,1987,Oct,158.6
87/88,1987,Nov,60.0
87/88,1987,Dec,1.2
87/88,1988,Jan,0.0
87/88,1988,Feb,0.0
87/88,1988,Mar,23.8
87/88,1988,Apr,38.2
87/88,1988,May,14.8
88/89,1988,Jun,54.2
88/89,1988,Jul,164.4
88/89,1988,Aug,147.8
88/89,1988,Sep,120.4
88/89,1988,Oct,14.4
88/89,1988,Nov,0.0
88/89,1988,Dec,5.6
88/89,1989,Jan,0.0
88/89,1989,Feb,0.0
88/89,1989,Mar,63.0
88/89,1989,Apr,5.2
88/89,1989,May,39.6
89/90,1989,Jun,37.6
89/90,1989,Jul,218.2
89/90,1989,Aug,50.6
89/90,1989,Sep,113.2
89/90,1989,Oct,13.8
89/90,1989,Nov,18.6
89/90,1989,Dec,0.0
89/90,1990,Jan,0.0
89/90,1990,Feb,0.0
89/90,1990,Mar,0.0
89/90,1990,Apr,3.4
89/90,1990,May,59.3
90/91,1990,Jun,27.6
90/91,1990,Jul,39.8
90/91,1990,Aug,117.4
90/91,1990,Sep,85.2
90/91,1990,Oct,148.0
90/91,1990,Nov,8.4
90/91,1990,Dec,0.0
90/91,1991,Jan,0.0
90/91,1991,Feb,0.0
90/91,1991,Mar,0.0
90/91,1991,Apr,5.4
90/91,1991,May,28.6
91/92,1991,Jun,185.4
91/92,1991,Jul,69.6
91/92,1991,Aug,57.6
91/92,1991,Sep,45.6
91/92,1991,Oct,19.2
91/92,1991,Nov,36.6
91/92,1991,Dec,0.0
91/92,1992,Jan,0.0
91/92,1992,Feb,0.0
91/92,1992,Mar,0.0
91/92,1992,Apr,0.0
91/92,1992,May,30.0
92/93,1992,Jun,59.8
92/93,1992,Jul,92.2
92/93,1992,Aug,122.6
92/93,1992,Sep,28.8
92/93,1992,Oct,54.2
92/93,1992,Nov,62.2
92/93,1992,Dec,0.0
92/93,1993,Jan,0.0
92/93,1993,Feb,0.0
92/93,1993,Mar,0.0
92/93,1993,Apr,3.4
92/93,1993,May,4.2
93/94,1993,Jun,13.2
93/94,1993,Jul,68.6
93/94,1993,Aug,79.4
93/94,1993,Sep,197.8
93/94,1993,Oct,101.7
93/94,1993,Nov,116.1
93/94,1993,Dec,180.5
93/94,1994,Jan,0.0
93/94,1994,Feb,44.0
93/94,1994,Mar,0.0
93/94,1994,Apr,23.0
93/94,1994,May,23.0
94/95,1994,Jun,13.6
94/95,1994,Jul,24.0
94/95,1994,Aug,104.8
94/95,1994,Sep,3.2
94/95,1994,Oct,267.0
94/95,1994,Nov,28.4
94/95,1994,Dec,0.0
94/95,1995,Jan,0.0
94/95,1995,Feb,0.0
94/95,1995,Mar,0.0
94/95,1995,Apr,2.0
94/95,1995,May,48.8
95/96,1995,Jun,63.8
95/96,1995,Jul,93.8
95/96,1995,Aug,129.8
95/96,1995,Sep,54.6
95/96,1995,Oct,99.0
95/96,1995,Nov,6.6
95/96,1995,Dec,0.0
95/96,1996,Jan,0.0
95/96,1996,Feb,0.0
95/96,1996,Mar,0.0
95/96,1996,Apr,29.6
95/96,1996,May,0.0
96/97,1996,Jun,172.0
96/97,1996,Jul,40.8
96/97,1996,Aug,133.4
96/97,1996,Sep,144.8
96/97,1996,Oct,293.2
96/97,1996,Nov,3.8
96/97,1996,Dec,7.0
96/97,1997,Jan,15.0
96/97,1997,Feb,0.0
96/97,1997,Mar,0.0
96/97,1997,Apr,21.8
96/97,1997,May,75.0
97/98,1997,Jun,72.6
97/98,1997,Jul,17.6
97/98,1997,Aug,67.2
97/98,1997,Sep,191.6
97/98,1997,Oct,70.8
97/98,1997,Nov,31.2
97/98,1997,Dec,9.0
97/98,1998,Jan,0.0
97/98,1998,Feb,0.0
97/98,1998,Mar,0.0
97/98,1998,Apr,34.0
97/98,1998,May,34.6
98/99,1998,Jun,65.9
98/99,1998,Jul,78.7
98/99,1998,Aug,180.4
98/99,1998,Sep,305.8
98/99,1998,Oct,193.0
98/99,1998,Nov,9.8
98/99,1998,Dec,0.0
98/99,1999,Jan,0.0
98/99,1999,Feb,6.6
98/99,1999,Mar,0.0
98/99,1999,Apr,8.8
98/99,1999,May,53.8
99/00,1999,Jun,46.6
99/00,1999,Jul,30.2
99/00,1999,Aug,105.7
99/00,1999,Sep,45.4
99/00,1999,Oct,47.6
99/00,1999,Nov,0.0
99/00,1999,Dec,0.0
99/00,2000,Jan,0.0
99/00,2000,Feb,0.0
99/00,2000,Mar,0.0
99/00,2000,Apr,7.4
99/00,2000,May,49.8
00/01,2000,Jun,119.0
00/01,2000,Jul,155.0
00/01,2000,Aug,204.0
00/01,2000,Sep,90.8
00/01,2000,Oct,65.2
00/01,2000,Nov,4.2
00/01,2000,Dec,6.6
00/01,2001,Jan,0.0
00/01,2001,Feb,0.0
00/01,2001,Mar,3.0
00/01,2001,Apr,84.4
00/01,2001,May,0.0
01/02,2001,Jun,61.4
01/02,2001,Jul,6.6
01/02,2001,Aug,176.0
01/02,2001,Sep,200.4
01/02,2001,Oct,169.2
01/02,2001,Nov,26.6
01/02,2001,Dec,0.0
01/02,2002,Jan,0.0
01/02,2002,Feb,0.0
01/02,2002,Mar,0.0
01/02,2002,Apr,0.0
01/02,2002,May,21.0
02/03,2002,Jun,72.8
02/03,2002,Jul,79.0
02/03,2002,Aug,78.1
02/03,2002,Sep,39.2
02/03,2002,Oct,100.6
02/03,2002,Nov,22.4
02/03,2002,Dec,0.0
02/03,2003,Jan,0.0
02/03,2003,Feb,0.0
02/03,2003,Mar,1.8
02/03,2003,Apr,7.4
02/03,2003,May,0.0
03/04,2003,Jun,47.8
03/04,2003,Jul,59.8
03/04,2003,Aug,93.6
03/04,2003,Sep,98.5
03/04,2003,Oct,70.6
03/04,2003,Nov,0.0
03/04,2003,Dec,0.0
03/04,2004,Jan,0.0
03/04,2004,Feb,0.0
03/04,2004,Mar,0.0
03/04,2004,Apr,69.0
03/04,2004,May,105.1
04/05,2004,Jun,25.0
04/05,2004,Jul,63.6
04/05,2004,Aug,23.2
04/05,2004,Sep,86.0
04/05,2004,Oct,44.0
04/05,2004,Nov,0.0
04/05,2004,Dec,0.0
04/05,2005,Jan,0.0
04/05,2005,Feb,0.0
04/05,2005,Mar,0.0
04/05,2005,Apr,58.6
04/05,2005,May,14.4
05/06,2005,Jun,2.4
05/06,2005,Jul,180.6
05/06,2005,Aug,144.0
05/06,2005,Sep,154.2
05/06,2005,Oct,298.6
05/06,2005,Nov,0.0
05/06,2005,Dec,0.0
05/06,2006,Jan,0.0
05/06,2006,Feb,0.0
05/06,2006,Mar,70.4
05/06,2006,Apr,5.6
05/06,2006,May,140.4
06/07,2006,Jun,220.0
06/07,2006,Jul,45.4
06/07,2006,Aug,22.4
06/07,2006,Sep,148.8
06/07,2006,Oct,34.6
06/07,2006,Nov,138.0
06/07,2006,Dec,0.0
06/07,2007,Jan,0.0
